"REALINC","SEX","PRESTG80","RELIG","HRS1"
37603,"Female",46,"Protestant",40
90265,"Male",64,"None",45
56405,"Female",55,"Catholic",20
17757,"Female",17,"Protestant",25
31336,"Female",45,"Protestant",30
90265,"Male",49,"None",40
45959,"Female",46,"Protestant",40
22980,"Female",33,"Catholic",36
56405,"Male",41,"Catholic",50
27158,"Male",36,"Protestant",48
22980,"Male",60,"Protestant",50
37603,"Female",22,"Catholic",19
13579,"Male",38,"Protestant",42
22980,"Male",51,"Catholic",56
90265,"Female",33,"Protestant",40
15668,"Female",40,"Protestant",45
56405,"Male",52,"None",32
19846,"Male",41,"Protestant",40
17757,"Male",37,"Catholic",40
11490,"Female",47,"Catholic",49
27158,"Female",47,"Other",36
13579,"Female",34,"Catholic",50
27158,"Male",50,"Protestant",40
15668,"Female",36,"Catholic",50
31336,"Male",49,"Catholic",60
22980,"Female",32,"Catholic",40
13579,"Female",41,"Catholic",43
37603,"Male",52,"Protestant",20
31336,"Female",46,"Catholic",35
22980,"Female",40,"Catholic",35
56405,"Male",86,"Catholic",80
37603,"Male",42,"Catholic",41
17757,"Male",40,"None",50
37603,"Female",36,"None",40
56405,"Female",56,"Protestant",40
31336,"Male",43,"Catholic",44
90265,"Female",74,"Protestant",40
56405,"Male",42,"Catholic",20
45959,"Female",42,"Catholic",40
56405,"Male",64,"Catholic",35
37603,"Female",51,"Protestant",20
31336,"Male",32,"Protestant",31
27158,"Male",86,"Protestant",15
37603,"Female",48,"Protestant",40
13579,"Female",34,"Protestant",37
2925,"Male",50,"Protestant",40
45959,"Female",51,"Protestant",60
90265,"Male",48,"Catholic",89
19846,"Male",42,"Catholic",40
90265,"Female",51,"Catholic",89
56405,"Female",44,"Protestant",33
31336,"Male",25,"None",40
31336,"Male",45,"Catholic",24
17757,"Female",29,"Catholic",40
31336,"Male",24,"Protestant",65
31336,"Male",30,"Catholic",60
37603,"Female",36,"Protestant",40
56405,"Male",40,"None",40
90265,"Female",58,"Protestant",40
37603,"Male",39,"Catholic",40
56405,"Male",64,"None",55
45959,"Male",47,"None",50
56405,"Female",46,"Catholic",12
90265,"Male",45,"Catholic",70
45959,"Male",49,"Catholic",60
11490,"Female",46,"Protestant",4
37603,"Female",51,"Protestant",40
37603,"Male",59,"Protestant",43
37603,"Male",50,"Catholic",52
45959,"Male",44,"Catholic",45
90265,"Male",31,"None",22
27158,"Female",45,"Protestant",28
56405,"Female",47,"Catholic",40
45959,"Female",28,"Protestant",24
19846,"Male",42,"Protestant",46
13579,"Female",29,"None",46
37603,"Male",63,"Protestant",50
37603,"Male",53,"Catholic",76
13579,"Female",28,"Catholic",25
31336,"Male",39,"Protestant",38
56405,"Female",31,"Catholic",42
19846,"Male",40,"None",24
45959,"Male",38,"Other",40
4596,"Female",65,"Catholic",48
27158,"Female",29,"Protestant",30
17757,"Female",41,"Protestant",40
31336,"Male",39,"None",40
22980,"Female",32,"Catholic",40
9401,"Male",46,"Catholic",50
19846,"Male",44,"Catholic",54
6267,"Female",44,"Catholic",40
2925,"Female",49,"Protestant",16
15668,"Male",51,"Protestant",41
11490,"Female",22,"Protestant",19
19846,"Female",35,"Protestant",20
27158,"Male",47,"Protestant",60
27158,"Male",73,"None",50
22980,"Male",48,"Catholic",40
27158,"Male",32,"Other",40
37603,"Female",32,"Protestant",45
31336,"Female",52,"Protestant",41
9401,"Male",22,"None",35
22980,"Female",41,"Other",60
11490,"Female",34,"Protestant",40
37603,"Male",30,"Protestant",67
90265,"Male",53,"Protestant",50
45959,"Male",51,"Protestant",40
56405,"Male",36,"Protestant",44
90265,"Male",51,"Protestant",60
31336,"Female",34,"Protestant",8
37603,"Male",50,"Protestant",30
11490,"Female",21,"Protestant",40
31336,"Male",31,"Protestant",40
37603,"Female",32,"Protestant",37
11490,"Male",28,"Protestant",40
13579,"Female",42,"Catholic",40
37603,"Female",43,"Catholic",42
11490,"Male",27,"Protestant",32
7521,"Female",23,"Protestant",16
37603,"Male",39,"Protestant",48
17757,"Female",46,"Protestant",40
37603,"Male",36,"Protestant",38
56405,"Male",48,"Protestant",40
31336,"Female",24,"Protestant",40
37603,"Male",26,"Protestant",52
37603,"Male",42,"Protestant",40
90265,"Male",66,"Protestant",60
27158,"Female",65,"Protestant",45
37603,"Male",27,"Protestant",52
45959,"Male",49,"Catholic",40
45959,"Male",71,"Protestant",40
9401,"Female",23,"Protestant",50
22980,"Female",46,"Protestant",40
22980,"Male",65,"Catholic",50
27158,"Male",33,"None",40
31336,"Male",64,"None",40
17757,"Female",41,"Protestant",9
37603,"Male",58,"Protestant",60
56405,"Male",51,"Protestant",65
37603,"Male",45,"None",60
45959,"Female",44,"Protestant",50
37603,"Male",64,"Protestant",50
90265,"Male",64,"Protestant",55
27158,"Male",64,"Protestant",49
31336,"Female",66,"Catholic",24
418,"Female",40,"Protestant",37
37603,"Female",66,"Protestant",56
27158,"Female",28,"Protestant",15
19846,"Male",26,"Protestant",32
22980,"Female",44,"Catholic",20
90265,"Male",54,"Catholic",21
22980,"Male",65,"Protestant",40
45959,"Male",30,"Catholic",40
7521,"Male",29,"None",26
22980,"Female",29,"Protestant",35
17757,"Female",60,"Protestant",40
17757,"Female",46,"Protestant",40
5432,"Female",50,"Protestant",33
56405,"Female",36,"Protestant",36
11490,"Female",66,"Protestant",16
37603,"Male",32,"Catholic",40
15668,"Female",47,"Catholic",32
31336,"Female",68,"Protestant",40
56405,"Male",51,"Protestant",60
56405,"Male",61,"Protestant",40
27158,"Male",51,"Catholic",55
45959,"Male",38,"Protestant",60
31336,"Female",51,"Protestant",60
13579,"Male",22,"Protestant",42
56405,"Male",48,"Catholic",40
37603,"Male",44,"Protestant",60
